ciudad,fecha,hora,latitud,longitud,temperatura_celsius,temperatura_kelvin,descripcion
barcelona,2025-08-04,13:30:00,41.5,1.875,31.48,304.63,Temperatura día 2025-08-04 a la hora 13:30:00 de la latitud 41.500 y longitud 1.875 : 31.48°C
barcelona,2025-08-04,14:30:00,41.5,1.875,31.54,304.69,Temperatura día 2025-08-04 a la hora 14:30:00 de la latitud 41.500 y longitud 1.875 : 31.54°C
barcelona,2025-08-04,15:30:00,41.5,1.875,31.11,304.26,Temperatura día 2025-08-04 a la hora 15:30:00 de la latitud 41.500 y longitud 1.875 : 31.11°C
barcelona,2025-08-04,16:30:00,41.5,1.875,30.11,303.26,Temperatura día 2025-08-04 a la hora 16:30:00 de la latitud 41.500 y longitud 1.875 : 30.11°C
barcelona,2025-08-04,17:30:00,41.5,1.875,28.42,301.57,Temperatura día 2025-08-04 a la hora 17:30:00 de la latitud 41.500 y longitud 1.875 : 28.42°C
barcelona,2025-08-04,18:30:00,41.5,1.875,26.11,299.26,Temperatura día 2025-08-04 a la hora 18:30:00 de la latitud 41.500 y longitud 1.875 : 26.11°C
barcelona,2025-08-04,19:30:00,41.5,1.875,24.15,297.3,Temperatura día 2025-08-04 a la hora 19:30:00 de la latitud 41.500 y longitud 1.875 : 24.15°C
barcelona,2025-08-04,20:30:00,41.5,1.875,23.19,296.34,Temperatura día 2025-08-04 a la hora 20:30:00 de la latitud 41.500 y longitud 1.875 : 23.19°C
barcelona,2025-08-04,21:30:00,41.5,1.875,22.54,295.69,Temperatura día 2025-08-04 a la hora 21:30:00 de la latitud 41.500 y longitud 1.875 : 22.54°C
barcelona,2025-08-04,22:30:00,41.5,1.875,22.11,295.26,Temperatura día 2025-08-04 a la hora 22:30:00 de la latitud 41.500 y longitud 1.875 : 22.11°C
barcelona,2025-08-04,23:30:00,41.5,1.875,21.77,294.92,Temperatura día 2025-08-04 a la hora 23:30:00 de la latitud 41.500 y longitud 1.875 : 21.77°C
barcelona,2025-08-05,00:30:00,41.5,1.875,21.47,294.62,Temperatura día 2025-08-05 a la hora 00:30:00 de la latitud 41.500 y longitud 1.875 : 21.47°C
barcelona,2025-08-05,01:30:00,41.5,1.875,21.24,294.39,Temperatura día 2025-08-05 a la hora 01:30:00 de la latitud 41.500 y longitud 1.875 : 21.24°C
barcelona,2025-08-05,02:30:00,41.5,1.875,21.05,294.2,Temperatura día 2025-08-05 a la hora 02:30:00 de la latitud 41.500 y longitud 1.875 : 21.05°C
barcelona,2025-08-05,03:30:00,41.5,1.875,20.92,294.07,Temperatura día 2025-08-05 a la hora 03:30:00 de la latitud 41.500 y longitud 1.875 : 20.92°C
barcelona,2025-08-05,04:30:00,41.5,1.875,20.82,293.97,Temperatura día 2025-08-05 a la hora 04:30:00 de la latitud 41.500 y longitud 1.875 : 20.82°C
barcelona,2025-08-05,05:30:00,41.5,1.875,22.06,295.21,Temperatura día 2025-08-05 a la hora 05:30:00 de la latitud 41.500 y longitud 1.875 : 22.06°C
barcelona,2025-08-05,06:30:00,41.5,1.875,24.83,297.98,Temperatura día 2025-08-05 a la hora 06:30:00 de la latitud 41.500 y longitud 1.875 : 24.83°C
barcelona,2025-08-05,07:30:00,41.5,1.875,27.44,300.59,Temperatura día 2025-08-05 a la hora 07:30:00 de la latitud 41.500 y longitud 1.875 : 27.44°C
barcelona,2025-08-05,08:30:00,41.5,1.875,29.79,302.94,Temperatura día 2025-08-05 a la hora 08:30:00 de la latitud 41.500 y longitud 1.875 : 29.79°C
barcelona,2025-08-05,09:30:00,41.5,1.875,31.11,304.26,Temperatura día 2025-08-05 a la hora 09:30:00 de la latitud 41.500 y longitud 1.875 : 31.11°C
barcelona,2025-08-05,10:30:00,41.5,1.875,32.01,305.16,Temperatura día 2025-08-05 a la hora 10:30:00 de la latitud 41.500 y longitud 1.875 : 32.01°C
barcelona,2025-08-05,11:30:00,41.5,1.875,32.53,305.68,Temperatura día 2025-08-05 a la hora 11:30:00 de la latitud 41.500 y longitud 1.875 : 32.53°C
barcelona,2025-08-05,12:30:00,41.5,1.875,32.67,305.82,Temperatura día 2025-08-05 a la hora 12:30:00 de la latitud 41.500 y longitud 1.875 : 32.67°C
barcelona,2025-08-05,13:30:00,41.5,1.875,32.5,305.65,Temperatura día 2025-08-05 a la hora 13:30:00 de la latitud 41.500 y longitud 1.875 : 32.50°C
barcelona,2025-08-05,14:30:00,41.5,1.875,32.01,305.16,Temperatura día 2025-08-05 a la hora 14:30:00 de la latitud 41.500 y longitud 1.875 : 32.01°C
barcelona,2025-08-05,15:30:00,41.5,1.875,31.25,304.4,Temperatura día 2025-08-05 a la hora 15:30:00 de la latitud 41.500 y longitud 1.875 : 31.25°C
barcelona,2025-08-05,16:30:00,41.5,1.875,29.99,303.14,Temperatura día 2025-08-05 a la hora 16:30:00 de la latitud 41.500 y longitud 1.875 : 29.99°C
barcelona,2025-08-05,17:30:00,41.5,1.875,28.31,301.46,Temperatura día 2025-08-05 a la hora 17:30:00 de la latitud 41.500 y longitud 1.875 : 28.31°C
barcelona,2025-08-05,18:30:00,41.5,1.875,26.49,299.64,Temperatura día 2025-08-05 a la hora 18:30:00 de la latitud 41.500 y longitud 1.875 : 26.49°C
barcelona,2025-08-05,19:30:00,41.5,1.875,25.18,298.33,Temperatura día 2025-08-05 a la hora 19:30:00 de la latitud 41.500 y longitud 1.875 : 25.18°C
barcelona,2025-08-05,20:30:00,41.5,1.875,24.77,297.92,Temperatura día 2025-08-05 a la hora 20:30:00 de la latitud 41.500 y longitud 1.875 : 24.77°C
barcelona,2025-08-05,21:30:00,41.5,1.875,24.77,297.92,Temperatura día 2025-08-05 a la hora 21:30:00 de la latitud 41.500 y longitud 1.875 : 24.77°C
barcelona,2025-08-05,22:30:00,41.5,1.875,24.84,297.99,Temperatura día 2025-08-05 a la hora 22:30:00 de la latitud 41.500 y longitud 1.875 : 24.84°C
barcelona,2025-08-05,23:30:00,41.5,1.875,24.56,297.71,Temperatura día 2025-08-05 a la hora 23:30:00 de la latitud 41.500 y longitud 1.875 : 24.56°C
valencia,2025-08-03,00:30:00,39.5,-0.625,22.23,295.38,Temperatura día 2025-08-03 a la hora 00:30:00 de la latitud 39.500 y longitud -0.625 : 22.23°C
valencia,2025-08-03,01:30:00,39.5,-0.625,22.11,295.26,Temperatura día 2025-08-03 a la hora 01:30:00 de la latitud 39.500 y longitud -0.625 : 22.11°C
valencia,2025-08-03,02:30:00,39.5,-0.625,21.92,295.07,Temperatura día 2025-08-03 a la hora 02:30:00 de la latitud 39.500 y longitud -0.625 : 21.92°C
valencia,2025-08-03,03:30:00,39.5,-0.625,21.59,294.74,Temperatura día 2025-08-03 a la hora 03:30:00 de la latitud 39.500 y longitud -0.625 : 21.59°C
valencia,2025-08-03,04:30:00,39.5,-0.625,21.35,294.5,Temperatura día 2025-08-03 a la hora 04:30:00 de la latitud 39.500 y longitud -0.625 : 21.35°C
valencia,2025-08-03,05:30:00,39.5,-0.625,21.69,294.84,Temperatura día 2025-08-03 a la hora 05:30:00 de la latitud 39.500 y longitud -0.625 : 21.69°C
valencia,2025-08-03,06:30:00,39.5,-0.625,23.63,296.78,Temperatura día 2025-08-03 a la hora 06:30:00 de la latitud 39.500 y longitud -0.625 : 23.63°C
valencia,2025-08-03,07:30:00,39.5,-0.625,25.47,298.62,Temperatura día 2025-08-03 a la hora 07:30:00 de la latitud 39.500 y longitud -0.625 : 25.47°C
valencia,2025-08-03,08:30:00,39.5,-0.625,27.32,300.47,Temperatura día 2025-08-03 a la hora 08:30:00 de la latitud 39.500 y longitud -0.625 : 27.32°C
valencia,2025-08-03,09:30:00,39.5,-0.625,28.88,302.03,Temperatura día 2025-08-03 a la hora 09:30:00 de la latitud 39.500 y longitud -0.625 : 28.88°C
valencia,2025-08-03,10:30:00,39.5,-0.625,30.16,303.31,Temperatura día 2025-08-03 a la hora 10:30:00 de la latitud 39.500 y longitud -0.625 : 30.16°C
valencia,2025-08-03,11:30:00,39.5,-0.625,31.19,304.34,Temperatura día 2025-08-03 a la hora 11:30:00 de la latitud 39.500 y longitud -0.625 : 31.19°C
valencia,2025-08-03,12:30:00,39.5,-0.625,31.78,304.93,Temperatura día 2025-08-03 a la hora 12:30:00 de la latitud 39.500 y longitud -0.625 : 31.78°C
valencia,2025-08-03,13:30:00,39.5,-0.625,32.05,305.2,Temperatura día 2025-08-03 a la hora 13:30:00 de la latitud 39.500 y longitud -0.625 : 32.05°C
valencia,2025-08-03,14:30:00,39.5,-0.625,31.74,304.89,Temperatura día 2025-08-03 a la hora 14:30:00 de la latitud 39.500 y longitud -0.625 : 31.74°C
valencia,2025-08-03,15:30:00,39.5,-0.625,31.01,304.16,Temperatura día 2025-08-03 a la hora 15:30:00 de la latitud 39.500 y longitud -0.625 : 31.01°C
